listing_id,mean_positive,mean_negative,mean_neutral,mean_mixed,number_reviews
5690640,99.88,0.0,0.11,0.0,2
13709190,80.68,5.1,0.19,14.03,20
12998582,99.96,0.0,0.03,0.02,1
8153848,79.8,3.0,1.37,15.82,81
9570618,90.58,6.92,2.44,0.07,32
9958026,59.94,10.78,8.78,20.5,22
4105704,99.07,0.01,0.06,0.86,104
14075290,83.46,3.92,1.19,11.42,16
3903273,80.25,10.37,9.34,0.04,5
10427882,99.93,0.01,0.04,0.02,6
1668313,95.55,0.03,0.18,4.24,17
3458030,96.16,0.0,0.06,3.78,14
5734770,93.77,1.43,2.16,2.64,87
6089865,95.45,0.42,0.07,4.06,120
4603588,57.53,13.15,25.42,3.9,5
9834727,99.29,0.01,0.22,0.48,16
14756269,2.36,0.12,0.05,97.47,1
7901248,99.81,0.02,0.05,0.13,3
1147871,91.18,1.41,0.58,6.84,226
13513012,99.96,0.0,0.03,0.01,6
2021483,94.66,0.01,0.02,5.31,1
13059,69.6,14.12,0.31,15.98,13
4435883,99.94,0.0,0.05,0.01,2
10054046,99.89,0.0,0.11,0.0,1
14125957,93.94,0.13,0.03,5.91,7
5834413,50.2,9.96,0.14,39.7,2
13622776,51.11,35.16,13.54,0.19,2
3589869,51.97,24.59,0.08,23.36,4
3765014,55.41,6.01,0.39,38.19,9
6261296,99.53,0.07,0.31,0.08,58
11036835,99.96,0.0,0.02,0.02,1
6759004,91.75,0.39,0.07,7.78,3
9887664,99.89,0.02,0.08,0.01,2
13752754,2.38,70.32,26.93,0.37,1
12828996,2.4,61.16,36.14,0.3,1
9448243,98.39,0.02,0.17,1.42,10
4787213,99.89,0.01,0.06,0.04,6
6778788,99.27,0.28,0.28,0.17,35
6240901,76.54,7.87,1.14,14.46,91
13586128,99.81,0.04,0.14,0.01,1
8309711,88.59,4.2,2.69,4.51,29
9993602,93.9,0.03,0.42,5.64,1
2294730,75.64,16.32,5.12,2.92,9
6065674,99.85,0.01,0.1,0.05,12
2395326,98.34,0.32,0.45,0.88,135
4662379,84.8,4.89,5.65,4.66,20
11121872,91.06,0.06,0.05,8.83,13
12210223,81.55,0.1,0.19,18.15,8
5582163,96.22,1.22,0.94,1.61,50
2216767,97.97,1.21,0.08,0.74,51
13054720,99.92,0.0,0.05,0.03,32
4293597,92.94,2.1,0.73,4.24,95
6323935,96.07,0.08,0.19,3.66,82
990668,99.57,0.04,0.27,0.12,96
14086516,99.86,0.01,0.12,0.01,9
13266133,99.93,0.01,0.04,0.02,2
4216208,85.11,4.56,3.12,7.22,40
1494726,94.34,0.02,0.33,5.31,9
4054079,98.17,0.24,0.12,1.47,61
1827762,88.64,1.93,5.18,4.24,29
3866526,98.57,0.15,0.55,0.73,25
6444148,90.49,0.08,0.26,9.17,24
8011545,98.4,0.07,0.22,1.31,47
45987,93.59,1.72,0.74,3.96,98
7071883,99.92,0.0,0.06,0.01,15
10537553,65.5,0.86,1.1,32.54,3
12049787,57.85,18.06,12.63,11.45,7
8471852,97.34,0.59,0.56,1.51,28
12351909,97.01,0.04,0.08,2.87,21
6939126,75.82,12.29,2.18,9.71,21
10764250,99.9,0.0,0.09,0.0,3
14110129,80.01,12.88,6.95,0.17,5
8732121,82.26,5.25,11.98,0.51,2
2778656,81.2,10.1,0.96,7.74,10
12092499,98.48,0.01,0.04,1.48,19
1059604,75.91,5.89,1.27,16.93,26
50032,72.09,7.36,6.27,14.28,15
14072256,89.29,0.12,1.24,9.34,15
11202183,99.57,0.01,0.1,0.32,20
3294775,97.95,0.29,0.26,1.51,62
2930663,96.03,0.15,0.38,3.44,68
3755609,95.81,0.13,1.13,2.94,21
5455293,99.72,0.01,0.24,0.03,16
11687031,88.96,0.08,0.09,10.87,4
5064995,84.59,4.01,3.71,7.68,13
228883,84.36,0.75,0.08,14.82,4
6976,97.44,1.28,1.19,0.09,41
13330146,83.66,10.21,6.07,0.06,6
7910223,99.81,0.01,0.08,0.09,71
12647606,89.3,0.82,7.2,2.68,8
12384469,99.96,0.0,0.03,0.0,1
14532696,99.53,0.03,0.17,0.27,2
13707814,99.92,0.01,0.05,0.03,2
6908672,99.96,0.0,0.03,0.01,6
13651290,75.11,0.06,0.07,24.76,4
1322461,98.63,0.69,0.66,0.02,75
4644069,99.96,0.0,0.02,0.01,1
8490356,87.74,0.02,0.05,12.19,8
13813809,51.2,35.04,13.49,0.26,2
332225,96.88,0.89,0.98,1.25,41
10051357,99.98,0.0,0.01,0.0,1
8082512,99.98,0.0,0.02,0.0,1
14767573,99.91,0.0,0.05,0.03,1
13298108,99.95,0.0,0.05,0.0,3
4475740,99.78,0.01,0.21,0.01,1
6763785,93.56,0.05,0.56,5.83,17
12088322,99.98,0.0,0.01,0.01,1
14653823,1.83,64.02,34.0,0.14,1
6291807,95.18,0.01,0.07,4.75,2
1596470,88.88,4.76,6.1,0.26,9
8211468,87.89,6.45,4.51,1.15,9
1550047,82.2,2.61,1.94,13.25,60
3974503,99.98,0.0,0.01,0.01,1
11016623,99.97,0.0,0.02,0.01,6
2729015,42.33,1.96,0.74,54.97,1
7879708,94.2,0.1,0.17,5.53,12
9834617,99.92,0.01,0.07,0.01,2
14336348,99.88,0.0,0.1,0.01,1
7714627,97.66,0.33,0.48,1.52,66
11739985,96.65,0.04,0.08,3.23,25
7377034,99.56,0.05,0.15,0.24,17
8442940,99.75,0.02,0.06,0.17,60
4359160,74.25,10.0,0.51,15.23,174
7441144,99.89,0.0,0.07,0.04,5
1128894,90.88,1.98,0.73,6.41,50
7225376,99.75,0.01,0.11,0.14,5
11371205,92.59,0.2,0.14,7.06,19
12233830,96.59,2.66,0.08,0.68,30
8734707,99.93,0.01,0.05,0.01,38
8518665,99.9,0.02,0.07,0.01,1
14107067,87.42,0.0,12.56,0.01,7
3129309,93.64,0.26,0.06,6.04,171
8302844,90.02,1.78,0.31,7.89,78
1810397,96.16,1.45,2.27,0.12,26
13451383,99.48,0.01,0.18,0.33,6
8351880,97.08,0.03,0.26,2.63,71
4118162,86.72,4.1,0.08,9.1,25
4262255,99.77,0.01,0.21,0.01,57
2898226,76.68,6.69,4.87,11.75,130
5088560,99.88,0.01,0.04,0.07,38
13642397,99.96,0.0,0.04,0.01,4
13813380,99.97,0.0,0.02,0.0,4
9905304,99.95,0.0,0.04,0.01,1
13578911,99.97,0.01,0.01,0.01,1
377474,89.38,4.81,0.78,5.02,19
8029788,99.95,0.0,0.03,0.02,1
13874533,99.33,0.02,0.63,0.01,9
8595650,99.9,0.0,0.07,0.02,38
