,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_sentiment_positive,reviews_sentiment_negative,reviews_sentiment_neutral,reviews_sentiment_mixed,number_sentiment_reviews,occupation_percentage_categoric
2053,"Boston, Massachusetts, United States",within a day,100%,81%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Brighton,02135,42.35126875950941,-71.14888344909197,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,$85.00,,,1,$0.00,1,1125,7,86.0,9.0,8.0,9.0,9.0,9.0,9.0,f,f,flexible,f,f,84.19,13.92,0.1,1.79,7,1
2054,"Boston, Massachusetts, United States",within an hour,95%,60%,f,3,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02135,42.350577156612935,-71.16393919577622,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,Iron,""Laptop Friendly Workspace""}",,$65.00,$300.00,,1,$10.00,2,1125,8,93.0,9.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,96.3,0.66,0.56,2.47,8,1
2055,"Boston, Massachusetts, United States",within an hour,99%,93%,f,24,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02135,42.3590776927106,-71.14058989352861,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,$68.00,,$25.00,1,$20.00,2,90,10,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,99.94,0.0,0.05,0.01,10,3
2056,"Boston, Massachusetts, United States",within a few hours,100%,63%,f,9,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02134,42.3566169433856,-71.13847571224115,House,Private room,1,1.5,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$55.00,,$50.00,1,$0.00,1,1125,2,100.0,10.0,10.0,9.0,10.0,10.0,9.0,f,f,strict,f,f,99.94,0.0,0.05,0.0,1,1
2057,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'amex', 'reviews', 'jumio']",t,t,Brighton,Boston,02135,42.35389221103398,-71.15954400902984,Condominium,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$150.00,$200.00,$25.00,2,$35.00,2,1125,34,94.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,moderate,f,f,96.9,0.02,2.99,0.1,34,1
2058,"Boston, Massachusetts, United States",within a few hours,100%,80%,f,1,"['email', 'phone', 'reviews']",t,f,Brighton,Boston,02135,42.33718955561893,-71.15143736746808,Condominium,Entire home/apt,6,1.0,1.0,3.0,Futon,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$163.00,,$30.00,2,$45.00,1,1125,16,89.0,8.0,9.0,10.0,10.0,9.0,9.0,f,f,moderate,t,t,89.28,3.77,2.48,4.47,16,1
2059,"Boston, Massachusetts, United States",within an hour,99%,93%,f,24,"['email', 'phone', 'reviews', 'kba']",t,t,Brighton,Boston,02135,42.359296325918,-71.14019685731922,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",,$283.00,,$75.00,1,$0.00,3,90,7,97.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,99.88,0.0,0.1,0.02,7,2
2060,"Boston, Massachusetts, United States",within an hour,100%,100%,f,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Brighton,Boston,02135,42.34839859005365,-71.15696250309374,House,Entire home/apt,5,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$140.00,$200.00,$60.00,2,$25.00,1,95,31,87.0,9.0,8.0,9.0,9.0,9.0,9.0,f,f,moderate,f,f,93.68,3.22,0.08,3.01,31,1
2061,"Philadelphia, Pennsylvania, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'facebook', 'jumio']",t,t,Brighton,Boston,02135,42.34031439369014,-71.14496231110071,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$29.00,,,1,$0.00,5,16,1,,,,,,,,f,t,flexible,f,f,2.69,71.97,22.31,3.03,1,3
2062,,,,,f,1,"['phone', 'reviews']",t,f,Brighton,Boston,02135,42.34054213223037,-71.14671037647113,Apartment,Private room,1,1.5,1.0,1.0,Real Bed,"{Internet,""Air Conditioning"",Kitchen,""Hot Tub"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,$32.00,,,1,$0.00,20,90,1,20.0,2.0,2.0,10.0,10.0,6.0,4.0,f,t,flexible,f,f,0.05,84.93,0.02,15.0,1,3
